"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Place of Death"	"Place of Death Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Influenza with pneumonia, influenza virus identified"	"J10.0"	40	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	35	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Influenza with pneumonia, virus not identified"	"J11.0"	42	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	34	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Bacterial pneumonia, unspecified"	"J15.9"	29	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Lobar pneumonia, unspecified"	"J18.1"	26	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Pneumonia, unspecified"	"J18.9"	749	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Emphysema, unspecified"	"J43.9"	36	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Chronic obstructive pulmonary disease with acute lower respiratory infection"	"J44.0"	290	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"	"J44.1"	117	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	832	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Asthma, unspecified"	"J45.9"	25	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Status asthmaticus"	"J46"	11	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Bronchiectasis"	"J47"	24	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Pneumonitis due to food and vomit"	"J69.0"	305	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Adult respiratory distress syndrome"	"J80"	46	Not Applicable	Not Applicable
	"Florida"	"12"	"Female"	"F"	"2018"	"2018"	"Medical Facility - Inpatient"	"1"	"Pulmonary oedema"	"J81"	16	Not Applicable	Not Applicable
